"ポートフォリオ一覧",
"一括表示",
"PTS株価非表示",
"総件数：39件",
"選択範囲：1-39件",
"ページ：1",
"株式（現物/特定預り）",
"銘柄（コード）","買付日","数量","取得単価","現在値","前日比","前日比（％）","損益","損益（％）","評価額",
"2168 パソナグループ","2026/03/02",1,2022,1879,-43,-2.24,-143,-7.07,1879,
"8303 ＳＢＩ新生銀行","2026/03/02",1,1790,1652,-33,-1.96,-138,-7.71,1652,
"8316 三井住友","2026/03/02",2,5740,5009,-147,-2.85,-1462,-12.74,10018,
"5970 ジーテクト","2026/03/03",5,1970,1801,-36,-1.96,-845,-8.58,9005,
"株式(現物/特定預り)合計",
"評価額","含み損益","含み損益（％）","前日比","前日比（％）",
22554,-2588,-10.29,-550,-2.38,
"株式（現物/NISA預り（成長投資枠））",
"銘柄（コード）","買付日","数量","取得単価","現在値","前日比","前日比（％）","損益","損益（％）","評価額",
"4845 スカラ","2025/10/15",100,391,347,-3,-0.86,-4400,-11.25,34700,
"9432 ＮＴＴ","----/--/--",1000,152,157,-1.6,-1.01,+5000,+3.29,157000,
"9434 ソフトバンク","----/--/--",500,212,216.3,+0.7,+0.32,+2150,+2.03,108150,
"2181 パーソルＨＤ","2026/02/24",100,242,224.8,-2.3,-1.01,-1720,-7.11,22480,
"4820 ＥＭシステムズ","2026/02/24",100,700,643,-14,-2.13,-5700,-8.14,64300,
"8593 三菱ＨＣキャピタル","----/--/--",101,1477,1394,-34,-2.38,-8383,-5.62,140794,
"190A Ｃｈｏｒｄｉａ","2026/03/02",100,158,123,-3,-2.38,-3500,-22.15,12300,
"2502 アサヒ","----/--/--",17,1639,1557.5,-18.5,-1.17,-1385.5,-4.97,26477.5,
"2914 ＪＴ","----/--/--",12,5749,5693,-154,-2.63,-672,-0.97,68316,
"3003 ヒューリック","----/--/--",43,1933,1806.5,-55,-2.95,-5439.5,-6.54,77679.5,
"5401 日本製鉄","----/--/--",17,612,584.6,-8.1,-1.37,-465.8,-4.48,9938.2,
"5970 ジーテクト","----/--/--",79,1895,1801,-36,-1.96,-7426,-4.96,142279,
"7267 ホンダ","----/--/--",50,1489,1284,-18,-1.38,-10250,-13.77,64200,
"8306 三菱ＵＦＪ","----/--/--",10,2724,2564.5,-121.5,-4.52,-1595,-5.86,25645,
"8001 伊藤忠","2026/03/03",10,2178,1959.5,-64.5,-3.19,-2185,-10.03,19595,
"1928 積水ハウス","----/--/--",8,3519,3451,-39,-1.12,-544,-1.93,27608,
"3289 東急不ＨＤ","2026/03/05",5,1446,1322.5,-59.5,-4.31,-617.5,-8.54,6612.5,
"4221 大倉工","2026/03/05",2,4925,4490,-195,-4.16,-870,-8.83,8980,
"8425 みずほリース","2026/03/05",5,1458,1387,-28,-1.98,-355,-4.87,6935,
"8058 三菱商事","----/--/--",8,5180,5272,-125,-2.32,+736,+1.78,42176,
"8725 ＭＳ＆ＡＤ","----/--/--",8,4067,3890,-138,-3.43,-1416,-4.35,31120,
"8473 ＳＢＩ","----/--/--",10,2964,2933,-113,-3.71,-310,-1.05,29330,
"8766 東京海上","2026/03/11",2,6016,5857,-175,-2.90,-318,-2.64,11714,
"1911 住友林","2026/03/12",5,1461,1395,-51.5,-3.56,-330,-4.52,6975,
"1605 ＩＮＰＥＸ","2026/03/13",5,4383,4483,-217,-4.62,+500,+2.28,22415,
"7203 トヨタ自","2026/03/13",3,3398,3251,-74,-2.23,-441,-4.33,9753,
"8729 ソニーＦＧ","----/--/--",200,148,143.7,-2.3,-1.58,-860,-2.91,28740,
"8316 三井住友","2026/03/17",3,5111,5009,-147,-2.85,-306,-2.00,15027,
"4452 花王","2026/03/19",2,6017,6005,-12,-0.20,-24,-0.20,12010,
"7272 ヤマハ発","----/--/--",9,1095,1083.5,-17.5,-1.59,-103.5,-1.05,9751.5,
"9201 ＪＡＬ","2026/03/19",3,2609,2570,-38.5,-1.48,-117,-1.49,7710,
"4503 アステラス薬","2026/03/23",3,2350,2361,-21,-0.88,+33,+0.47,7083,
"株式(現物/NISA預り(成長投資枠))合計",
"評価額","含み損益","含み損益（％）","前日比","前日比（％）",
1257794.2,-51314.8,-3.92,-24732.2,-1.93,
"投資信託（金額/NISA預り（成長投資枠））",
"ファンド名","買付日","数量","取得単価","現在値","前日比","前日比（％）","損益","損益（％）","評価額",
"ＳＢＩ・Ｓ・米国高配当株式ファンド（年４回決算型）","----/--/--",386617,9946,11524,-89,-0.77,+61008.16,+15.87,445537.43,
"投資信託(金額/NISA預り(成長投資枠))合計",
"評価額","含み損益","含み損益（％）","前日比","前日比（％）",
445537.43,+61008.16,+15.87,-3440.89,-0.77,
"投資信託（金額/NISA預り（つみたて投資枠））",
"ファンド名","買付日","数量","取得単価","現在値","前日比","前日比（％）","損益","損益（％）","評価額",
"ｅＭＡＸＩＳ　Ｓｌｉｍ　米国株式（Ｓ＆Ｐ５００）","----/--/--",7588,39537,38822,-366,-0.93,-542.54,-1.81,29458.13,
"ｅＭＡＸＩＳ　Ｓｌｉｍ　全世界株式（オール・カントリー）","----/--/--",117082,29894,33565,-255,-0.75,+42980.8,+12.28,392985.73,
"投資信託(金額/NISA預り(つみたて投資枠))合計",
"評価額","含み損益","含み損益（％）","前日比","前日比（％）",
422443.86,+42438.26,+11.17,-3263.31,-0.77,
"総合計",
"評価額","含み損益","含み損益（％）","前日比","前日比（％）",
2148329.49,+49543.62,+2.36,-31986.4,-1.47
