"ポートフォリオ一覧",
"一括表示",
"PTS株価非表示",
"総件数：38件",
"選択範囲：1-38件",
"ページ：1",
"株式（現物/特定預り）",
"銘柄（コード）","買付日","数量","取得単価","現在値","前日比","前日比（％）","損益","損益（％）","評価額",
"2168 パソナグループ","2026/03/02",1,2022,1922,-65,-3.27,-100,-4.95,1922,
"8303 ＳＢＩ新生銀行","2026/03/02",1,1790,1685,-20,-1.17,-105,-5.87,1685,
"8316 三井住友","2026/03/02",2,5740,5156,-100,-1.90,-1168,-10.17,10312,
"5970 ジーテクト","2026/03/03",5,1970,1837,-54,-2.86,-665,-6.75,9185,
"株式(現物/特定預り)合計",
"評価額","含み損益","含み損益（％）","前日比","前日比（％）",
23104,-2038,-8.11,-555,-2.35,
"株式（現物/NISA預り（成長投資枠））",
"銘柄（コード）","買付日","数量","取得単価","現在値","前日比","前日比（％）","損益","損益（％）","評価額",
"4845 スカラ","2025/10/15",100,391,350,-5,-1.41,-4100,-10.49,35000,
"9432 ＮＴＴ","----/--/--",1000,152,158.6,+0.6,+0.38,+6600,+4.34,158600,
"9434 ソフトバンク","----/--/--",500,212,215.6,-1.9,-0.87,+1800,+1.70,107800,
"2181 パーソルＨＤ","2026/02/24",100,242,227.1,-7.1,-3.03,-1490,-6.16,22710,
"4820 ＥＭシステムズ","2026/02/24",100,700,657,-14,-2.09,-4300,-6.14,65700,
"8593 三菱ＨＣキャピタル","----/--/--",101,1477,1428,-31,-2.12,-4949,-3.32,144228,
"190A Ｃｈｏｒｄｉａ","2026/03/02",100,158,126,-2,-1.56,-3200,-20.25,12600,
"2502 アサヒ","----/--/--",17,1639,1576,-22.5,-1.41,-1071,-3.84,26792,
"2914 ＪＴ","----/--/--",9,5768,5847,-118,-1.98,+711,+1.37,52623,
"3003 ヒューリック","----/--/--",36,1959,1861.5,-42.5,-2.23,-3510,-4.98,67014,
"5401 日本製鉄","----/--/--",17,612,592.7,-14.3,-2.36,-328.1,-3.15,10075.9,
"5970 ジーテクト","----/--/--",69,1908,1837,-54,-2.86,-4899,-3.72,126753,
"7267 ホンダ","----/--/--",50,1489,1302,-43,-3.20,-9350,-12.56,65100,
"8306 三菱ＵＦＪ","----/--/--",7,2792,2686,-45,-1.65,-742,-3.80,18802,
"8001 伊藤忠","2026/03/03",10,2178,2024,-108,-5.07,-1540,-7.07,20240,
"1928 積水ハウス","----/--/--",8,3519,3490,-118,-3.27,-232,-0.82,27920,
"3289 東急不ＨＤ","2026/03/05",5,1446,1382,-37,-2.61,-320,-4.43,6910,
"4221 大倉工","2026/03/05",2,4925,4685,-120,-2.50,-480,-4.87,9370,
"8425 みずほリース","2026/03/05",5,1458,1415,-33,-2.28,-215,-2.95,7075,
"8058 三菱商事","----/--/--",5,5132,5397,-315,-5.51,+1325,+5.16,26985,
"8725 ＭＳ＆ＡＤ","----/--/--",8,4067,4028,-111,-2.68,-312,-0.96,32224,
"8473 ＳＢＩ","----/--/--",10,2964,3046,-138,-4.33,+820,+2.77,30460,
"8766 東京海上","2026/03/11",2,6016,6032,-39,-0.64,+32,+0.27,12064,
"1911 住友林","2026/03/12",5,1461,1446.5,-44.5,-2.98,-72.5,-0.99,7232.5,
"1605 ＩＮＰＥＸ","2026/03/13",5,4383,4700,+25,+0.53,+1585,+7.23,23500,
"7203 トヨタ自","2026/03/13",3,3398,3325,-79,-2.32,-219,-2.15,9975,
"8729 ソニーＦＧ","----/--/--",200,148,146,-2.7,-1.82,-400,-1.35,29200,
"8316 三井住友","2026/03/17",3,5111,5156,-100,-1.90,+135,+0.88,15468,
"4452 花王","2026/03/19",2,6017,6017,-263,-4.19,"--","--",12034,
"7272 ヤマハ発","2026/03/19",4,1101,1101,-19.5,-1.74,"--","--",4404,
"9201 ＪＡＬ","2026/03/19",3,2609,2608.5,-109.5,-4.03,-1.5,-0.02,7825.5,
"株式(現物/NISA預り(成長投資枠))合計",
"評価額","含み損益","含み損益（％）","前日比","前日比（％）",
1196684.9,-28723.1,-2.34,-24341.6,-1.99,
"投資信託（金額/NISA預り（成長投資枠））",
"ファンド名","買付日","数量","取得単価","現在値","前日比","前日比（％）","損益","損益（％）","評価額",
"ＳＢＩ・Ｓ・米国高配当株式ファンド（年４回決算型）","----/--/--",386617,9946,11613,+16,+0.14,+64449.05,+16.76,448978.32,
"投資信託(金額/NISA預り(成長投資枠))合計",
"評価額","含み損益","含み損益（％）","前日比","前日比（％）",
448978.32,+64449.05,+16.76,+618.59,+0.14,
"投資信託（金額/NISA預り（つみたて投資枠））",
"ファンド名","買付日","数量","取得単価","現在値","前日比","前日比（％）","損益","損益（％）","評価額",
"ｅＭＡＸＩＳ　Ｓｌｉｍ　米国株式（Ｓ＆Ｐ５００）","----/--/--",7588,39537,39188,+55,+0.14,-264.82,-0.88,29735.85,
"ｅＭＡＸＩＳ　Ｓｌｉｍ　全世界株式（オール・カントリー）","----/--/--",117082,29894,33820,+163,+0.48,+45966.39,+13.13,395971.32,
"投資信託(金額/NISA預り(つみたて投資枠))合計",
"評価額","含み損益","含み損益（％）","前日比","前日比（％）",
425707.17,+45701.57,+12.03,+1950.17,+0.46,
"総合計",
"評価額","含み損益","含み損益（％）","前日比","前日比（％）",
2094474.4,+79389.52,+3.94,-22327.84,-1.05
